Construction BOQ,جدول كميات البناء
Cash Risk Status,Cash المخاطر الحالة
Center Line must be between Lower and Upper Control Limits.,Center Line must be between Lower and Upper Control Limits.
Certificate Information,بيانات المستخلص
Certificate Number,رقم المستخلص
Certificate Sequence,تسلسل المستخلص
Certification Progress %,Certification التقدم %
Certification Progress Percent,Certification التقدم Percent
Certification Status,Certification الحالة
Certification Tracking,تتبع الاعتماد المالي
Certified Amounts,المبالغ المعتمدة
Certified By,تم الاعتماد بواسطة
Certified Cost,Certified Cost
Certified Gross,Certified Gross
Certified Net,Certified Net
Certified Net Amount,Certified Net المبلغ
Certified On,تاريخ الاعتماد
Certified Qty cannot exceed Planned Quantity.,Certified Qty cannot exceed Planned الكمية.
Change Amount,Change المبلغ
Change Order,Change Order
Change Order Title,Change Order Title
Change Type,Change Type
Check Request,طلب شيك
Child table used to record deductions for this Interim Payment Certificate.,Child table used to record deductions for this مستخلص مقاول.
Child table used to record items for this Construction BOQ.,Child table used to record items for this جدول كميات البناء.
Child table used to record lines for this Interim Payment Certificate.,جدول فرعي لتسجيل البنود المرتبطة بـمستخلص مقاول.
Child table used to record lines for this Unit Cost Allocation.,جدول فرعي لتسجيل البنود المرتبطة بـتوزيع تكلفة الوحدات.
Child table used to record periods for this Project Cash Flow Forecast.,Child table used to record periods for this توقع التدفق النقدي للمشروع.
Christmas Bonus - Aguinaldo,Christmas Bonus - Aguinaldo
Circular dependency detected in Activity Schedule for project {0}.,Circular dependency detected in Activity Schedule for project {0}.
Classification / Relationship,التصنيف والعلاقات
Co-owner,Co-owner
Collection Document name is required,Collection Document name is required
Commercial,Commercial
"Commercial availability status used by inventory, reservation, sales, and rental workflows.",حالة الإتاحة التجارية المستخدمة في المخزون والحجز والبيع والتأجير.
Committed,Committed
Committed Cost,Committed Cost
Committed amount from submitted Purchase Orders linked to this work item.,قيمة الالتزامات من أوامر الشراء المعتمدة المرتبطة ببند العمل هذا.
Completed,Completed
Construction Budget,ميزانية البناء
Construction Budget is required to apply changes.,ميزانية البناء is required to apply changes.
Construction Work Item already exists for this Construction BOQ item row.,بند عمل إنشائي already exists for this جدول كميات البناء item row.
Construction Work Item {0} does not belong to Project {1}.,بند عمل إنشائي {0} does not belong to المشروع {1}.
Consumed Cost,Consumed Cost
Consumed vs Measured Variance,Consumed vs Measured الفروقات
Contact Details,بيانات التواصل
Contingency,Contingency
Contract,Contract
Contract Title,Contract Title
Contractor Ledger Entries are immutable. Create a reversal entry instead.,المقاول الكشف Entries are immutable. Create a reversal entry instead.
Contractor Name,المقاول Name
Contractor Outstanding Amount,مستحقات المقاولين المبلغ
Contractor Paid Amount,المقاول المبلغ المدفوع
Contractor is required.,المقاول is required.
Contractor payment certificate generated from verified measurement entries and used for certification and invoice preparation.,المقاول payment certificate generated from verified measurement entries and used for certification and invoice preparation.
Contractor service item is required to create Purchase Invoice.,المقاول service item is required to create فاتورة الشراء.
Controls,الضوابط
"Controls Accounting Dimension synchronization, warnings, optional blocking, and project-level cost behavior.","الضوابط Accounting Dimension synchronization, warnings, optional blocking, and project-level cost behavior."
"Controls BOQ work item synchronization, procurement warnings, and optional budget blocking behavior.","الضوابط BOQ work item synchronization, procurement warnings, and optional budget blocking behavior."
Controls whether calculated allocation has been applied to Unit profitability fields.,الضوابط whether calculated allocation has been applied to الوحدة profitability fields.
Corrective Action {0} created for out-of-control chart.,Corrective Action {0} created for out-of-control chart.
Cost Allocation,توزيع التكلفة
Cost Category,فئة التكلفة
Cost Center,مركز التكلفة
Cost Code Name,كود التكلفة Name
Cost Performance Index,مؤشر أداء التكلفة
Cost Rate,Cost Rate
Cost Risk,Cost المخاطر
Cost Risk Status,Cost المخاطر الحالة
Cost Source,مصدر التكلفة
Cost Status,Cost الحالة
Cost Summary,ملخص التكلفة
Cost Type,Cost Type
Count,Count
Credit,Credit
Credit Account is required,Credit Account is required
Crew Code,Crew Code
Cumulative Measured Qty,إجمالي الكمية المقاسة تراكمياً
Cumulative amount certified before this IPC.,Cumulative amount certified before this المستخلص.
Currency,العملة
Current Advance Balance,Current رصيد السلف
Current Amount,Current المبلغ
Current Certified Amount,Current المبلغ المعتمد
Current Certified Qty,الكمية المعتمدة الحالية
Current Measured Qty,الكمية المقاسة الحالية
Current payable amount after retention and deductions.,المبلغ المستحق الحالي بعد المحتجزات والاستقطاعات.
Current planned project value from BOQ/Work Items.,Current planned project value from BOQ/بنود العمل.
Current status used to track this Advance Register through its workflow or reporting lifecycle.,Current status used to track this سجل السلف through its workflow or reporting lifecycle.
Current status used to track this Building through its workflow or reporting lifecycle.,Current status used to track this المبنى through its workflow or reporting lifecycle.
Current status used to track this Construction BOQ through its workflow or reporting lifecycle.,Current status used to track this جدول كميات البناء through its workflow or reporting lifecycle.
Current status used to track this Construction Work Item through its workflow or reporting lifecycle.,Current status used to track this بند عمل إنشائي through its workflow or reporting lifecycle.
Current status used to track this Contractor Account through its workflow or reporting lifecycle.,Current status used to track this حساب المقاول through its workflow or reporting lifecycle.
Current status used to track this Guarantee Register through its workflow or reporting lifecycle.,Current status used to track this سجل الضمانات through its workflow or reporting lifecycle.
Current status used to track this Interim Payment Certificate through its workflow or reporting lifecycle.,Current status used to track this مستخلص مقاول through its workflow or reporting lifecycle.
Current status used to track this Measurement Book through its workflow or reporting lifecycle.,Current status used to track this دفتر القياسات through its workflow or reporting lifecycle.
Current status used to track this Measurement Entry through its workflow or reporting lifecycle.,Current status used to track this قيد قياس through its workflow or reporting lifecycle.
Current status used to track this Project Cash Flow Forecast through its workflow or reporting lifecycle.,Current status used to track this توقع التدفق النقدي للمشروع through its workflow or reporting lifecycle.
Current status used to track this Project EVM Metrics through its workflow or reporting lifecycle.,Current status used to track this مؤشرات القيمة المكتسبة للمشروع through its workflow or reporting lifecycle.
Current status used to track this Project Financial Snapshot through its workflow or reporting lifecycle.,Current status used to track this الملخص المالي للمشروع through its workflow or reporting lifecycle.
Current status used to track this Property Owner through its workflow or reporting lifecycle.,Current status used to track this مالك العقار through its workflow or reporting lifecycle.
Current status used to track this Property Ownership through its workflow or reporting lifecycle.,Current status used to track this ملكية العقار through its workflow or reporting lifecycle.
Current status used to track this Real Estate Project through its workflow or reporting lifecycle.,Current status used to track this المشروع العقاري through its workflow or reporting lifecycle.
Current status used to track this Retention Register through its workflow or reporting lifecycle.,Current status used to track this سجل المحتجزات through its workflow or reporting lifecycle.
Current status used to track this Unit Cost Allocation Line through its workflow or reporting lifecycle.,Current status used to track this بند توزيع تكلفة الوحدة through its workflow or reporting lifecycle.
Current status used to track this Unit Reservation through its workflow or reporting lifecycle.,Current status used to track this حجز وحدة through its workflow or reporting lifecycle.
Current status used to track this Unit through its workflow or reporting lifecycle.,Current status used to track this الوحدة through its workflow or reporting lifecycle.
Customer,العميل
Customer is required,العميل is required
Customer is required to apply collection,العميل is required to apply collection
"Customer, Lead, or Party Name is required for a unit reservation.","العميل, المهتم, or اسم الطرف is required for a unit reservation."
Date,Date
Date Range Start must be before Date Range End.,Date Range Start must be before Date Range End.
Dates & Alerts,التواريخ والتنبيهات
Dates & Status,التواريخ والحالة
Debit,Debit
Debit Account is required,Debit Account is required
Deduction,Deduction
Deduction Amount,Deduction المبلغ
Deduction Details,بيانات الخصم
Deduction Type,نوع الخصم
Deductions,الخصومات
Default Dimension Mode,وضع الأبعاد الافتراضي
Default Payable Account is not configured for company {0},Default Payable Account is not configured for company {0}
Default Payable Account not configured for company {0},Default Payable Account not configured for company {0}
Default Receivable Account not configured for company {0},Default Receivable Account not configured for company {0}
Default Site Warehouse,مخزن الموقع الافتراضي
Default Usage Purpose,غرض الاستخدام الافتراضي
Default number of days a new reservation remains valid when no end date is provided.,عدد الأيام الافتراضي لبقاء الحجز الجديد صالحاً عند عدم إدخال تاريخ انتهاء.
Defect Liability Months,أشهر ضمان العيوب
Deficit,Deficit
Deficit Amount,Deficit المبلغ
Deposit Date is required,Deposit Date is required
Deposit Entry {0},Deposit Entry {0}
Description,الوصف
Detailed,Detailed
Detection,Detection
Deterministic cash risk based on projected balances and deficits.,مستوى مخاطر نقدية محسوب بقواعد ثابتة بناء على الأرصدة المتوقعة والعجز المتوقع.
"Deterministic project cash flow forecast based on current procurement, IPC, invoice, and retention obligations.","Deterministic project cash flow forecast based on current procurement, المستخلص, invoice, and retention obligations."
Development,Development
Development Type,نوع التطوير
Direct Quantity,Direct الكمية
Direction,الاتجاه
Disabled,معطل
Distribution,Distribution
Distribution percentages must sum to 100%. Currently: {0}%,Distribution percentages must sum to 100%. Currently: {0}%
Documents,Documents
Downtime Cost,Downtime Cost
Downtime Summary,Downtime الملخص
Draft or submitted ERPNext Purchase Invoice created from this IPC.,Draft or submitted ERPNext فاتورة الشراء created from this المستخلص.
Duration (Days),Duration (Days)
Dynamic Attributes JSON,خصائص ديناميكية بصيغة JSON
EAC,EAC
ERPNext Project,ERPNext المشروع
ETC,ETC
EV,EV
EVM Information,بيانات القيمة المكتسبة
EVM Title,عنوان القيمة المكتسبة
Earned Value,القيمة المكتسبة
East,East
"Editable BOQ line item for quantity, rate, wastage, markup, and category-level cost planning.","Editable BOQ line item for quantity, rate, wastage, markup, and category-level cost planning."
El Salvador Payroll Setup Error,El Salvador Payroll Setup Error
El Salvador Tax Setup Error,El Salvador Tax Setup Error
El Salvador payroll components created for {0},El Salvador payroll components created for {0}
El Salvador tax accounts and templates have been created for {0}.,El Salvador tax accounts and templates have been created for {0}.
El Salvador vacation rules applied: 15 days after 1 year with 30% bonus.,El Salvador vacation rules applied: 15 days after 1 year with 30% bonus.
Email,البريد الإلكتروني
Employee,Employee
Employee Loan {0} created.,Employee Loan {0} created.
Employee Name,Employee Name
Employee is required.,Employee is required.
Enable Budget Blocking,تفعيل منع تجاوز الميزانية
Enable Budget Warning,تفعيل تحذير الميزانية
Enable Dimension Blocking,تفعيل منع نقص الأبعاد
Enable Dimension Warnings,تفعيل تحذيرات الأبعاد
Enable Financial Dimension Sync,تفعيل مزامنة الأبعاد المالية
Enable Work Item Sync,تفعيل مزامنة بند العمل
Encashment Completed,Encashment Completed
Encashment Requested,Encashment Requested
End Date,تاريخ النهاية
End Date cannot be before Start Date.,End Date cannot be before Start Date.
End-to-End Flow,المسار التشغيلي الكامل
Ended,Ended
Entry Information,بيانات القيد
Equal Share,Equal Share
Equipment,Equipment
Equipment Usage Log,سجل استخدام المعدات
Equipment Usage Report,تقرير استخدام المعدات
Error evaluating formula: {0},Error evaluating formula: {0}
Error evaluating formula: {0}. Expanded formula: {1},Error evaluating formula: {0}. Expanded formula: {1}
Estimate at Completion,التقدير عند الإكمال
Estimate to Complete,التقدير للإكمال
Estimated,Estimated
Estimated Total,Estimated Total
Evidence document is required for Compliant status.,Evidence document is required for Compliant status.
Executive Overview,نظرة تنفيذية عامة
Existing customer interested in the reservation.,عميل قائم مهتم بالحجز.
Expected Date,Expected Date
Expected Inflow,Expected Inflow
Expected Margin Percent,نسبة الهامش المتوقع
Expected Next Payment Date,تاريخ الدفعة القادمة المتوقع
Expected Other Inflow,تدفقات داخلة أخرى متوقعة
Expected Payment Date,Expected Payment Date
Expected Rent Inflow,تدفقات إيجار داخلة متوقعة
Expected Sales Inflow,تدفقات مبيعات داخلة متوقعة
Expected Sales Value,Expected Sales Value
Expected margin divided by expected sale price when sale price is greater than zero.,الهامش المتوقع مقسوماً على سعر البيع المتوقع عندما يكون سعر البيع أكبر من صفر.
Expense account is required to create Purchase Invoice.,Expense account is required to create فاتورة الشراء.
Expiring Guarantees,Expiring الضمانات
Expiry Date,تاريخ الانتهاء
Expiry Reason is required.,سبب الانتهاء is required.
"Explains retention, advance recovery, penalties, withholding, or other deductions on an IPC without creating accounting entries.","Explains retention, advance recovery, penalties, withholding, or other deductions on an المستخلص without creating accounting entries."
Exported {0} records.,Exported {0} records.
FMEA Report,تقرير تحليل أنماط وآثار الفشل
Failure Mode,Failure Mode
Field Documentation,توثيق الموقع
Field Entry,Field Entry
Final Quantity,Final الكمية
Financial Ratio,نسبة مالية
Financial Snapshot - {0} - {1},الملخص المالي - {0} - {1}
Financial dimension backfill is allowed only for draft documents.,Financial dimension backfill is allowed only for draft documents.
Finishing Status,Finishing الحالة
Flag,Flag
Floor Code,الطابق Code
Floor Code must be unique per Building.,الطابق Code must be unique per المبنى.
Floor Name,الطابق Name
Floor Number,الطابق Number
Floor Type,الطابق Type
"Floor or level within a Building, used to group real estate units.","الطابق or level within a المبنى, used to group real estate units."
Forecast,التوقع
Forecast Date,التوقع Date
Forecast Information,بيانات التوقع
Forecast Overrun,التوقع Overrun
Forecast Overrun Amount,التوقع Overrun المبلغ
Forecast Period,التوقع Period
Forecast Periods,فترات التوقع
Forecast Title,التوقع Title
"Formula is empty, cannot compute ratio","Formula is empty, cannot compute ratio"
Formula is required for Calculated Insumo.,Formula is required for Calculated Insumo.
Formula is required for Compound Insumo.,Formula is required for Compound Insumo.
Formula is required for a Financial Ratio,Formula is required for a Financial Ratio
Formula is required for {0} type Insumos.,Formula is required for {0} type Insumos.
Formula must contain at least one {Account Name} reference,Formula must contain at least one {Account Name} reference
Free Title,Free Title
Fully Certified,Fully Certified
Fully Finished,Fully Finished
Fully Invoiced,Fully Invoiced
Fully Measured,Fully Measured
Fully Ordered,Fully Ordered
Fully Received,Fully Received
Fully Recovered,Fully Recovered
Fully Requested,Fully Requested
Furnished,Furnished
Future target document type when reservation is converted.,نوع المستند المستهدف مستقبلاً عند تحويل الحجز.
GL Cost,GL Cost
GPS Accuracy,دقة GPS
GPS Latitude,خط العرض GPS
GPS Longitude,خط الطول GPS
General Settings,الإعدادات العامة
Government,Government
Grid Or Zone,المحور أو المنطقة
Gross certified amount before retention and deductions.,إجمالي المبلغ المعتمد قبل المحتجزات والاستقطاعات.
Guarantee Amount,Guarantee المبلغ
Guarantee Details,تفاصيل الضمان
Guarantee Information,بيانات الضمان
Guarantee Number,رقم الضمان
Guarantee Type,نوع الضمان
Has Parking,يوجد موقف
Has Storage,يوجد مخزن
Height,الارتفاع
Historical,Historical
Hospitality,Hospitality
Hours,Hours
Hours Used,Hours Used
IPC,المستخلص
IPC / Contractor,المستخلص / المقاول
IPC Certified,المستخلص Certified
IPC Count,عدد المستخلصات
IPC Line Reference,المستخلص Line Reference
IPC Link,رابط المستخلص
IPC Outflow,المستخلص Outflow
"IPC certification line linking measured work to BOQ, Work Item, quantities, retention, and net payable amount.","المستخلص certification line linking measured work to BOQ, Work Item, quantities, retention, and net payable amount."
IPC reference once this verified measurement is certified for payment.,المستخلص reference once this verified measurement is certified for payment.
ISR Withholding 10%,ISR Withholding 10%
ISSS Employee Contribution 3%,ISSS Employee Contribution 3%
ISSS Employer Contribution 7.5%,ISSS Employer Contribution 7.5%
IVA 13%,IVA 13%
IVA Compras 13%,IVA Compras 13%
IVA Compras 13% - {0},IVA Compras 13% - {0}
IVA Cr\u00e9dito Fiscal,IVA Cr\u00e9dito Fiscal
IVA D\u00e9bito Fiscal,IVA D\u00e9bito Fiscal
IVA Retention 1%,IVA المحتجزات 1%
IVA Ventas 13%,IVA Ventas 13%
IVA Ventas 13% - {0},IVA Ventas 13% - {0}
Identification No,رقم التعريف
Imported,Imported
In Progress,In التقدم
Inactive,Inactive
Incident Count,Incident Count
Income Tax Withholding,Income Tax Withholding
Independent owner party profile used for real estate ownership tracking.,Independent owner party profile used for real estate ownership tracking.
Indicates that operational Work Items have been generated from approved BOQ rows.,Indicates that operational بنود العمل have been generated from approved BOQ rows.
Individual,Individual
Industrial,Industrial
Inflows,التدفقات الداخلة
Installment Amount must be greater than zero.,Installment المبلغ must be greater than zero.
Insumo,مدخل تكلفة
Insumo Price Scenario,سيناريو سعر مدخل التكلفة
"Invalid period format: {0}. Use YYYY-MM, YYYY-Q1..Q4, or YYYY","Invalid period format: {0}. Use YYYY-MM, YYYY-Q1..Q4, or YYYY"
Invalid status transition from {0} to {1},Invalid status transition from {0} to {1}
Invalid status {0}. Must be one of: {1},Invalid status {0}. Must be one of: {1}
Inventory & Profitability Reports,تقارير المخزون والربحية
"Inventory status only until Reservation, Sales Contract, and Lease Contract are implemented.","Inventory status only until الحجز, Sales Contract, and Lease Contract are implemented."
Investment,Investment
Investor,Investor
Invoice Amount,Invoice المبلغ
Invoice Authorization,اعتماد الفاتورة
Invoiced,Invoiced
Invoiced Cost,Invoiced Cost
Invoices,Invoices
Invoices & Payments,الفواتير والمدفوعات
Is Group,مجموعة
Is Reversed,معكوس
Issue Date,تاريخ الإصدار
Issuing Bank,البنك المصدر
Item,Item
Item Category,فئة البند
Item Code,كود الصنف
Item Name,Item Name
Items,البنود
Key Risks,Key المخاطرs
Labor,Labor
Labor Cost by Activity,تكلفة العمالة حسب النشاط
Labor Hour Entry,قيد ساعات العمل
Labor cost from Salary Slip {0} for {1},Labor cost from Salary Slip {0} for {1}
Land,Land
Land Development,Land Development
Last Certification Date,تاريخ آخر اعتماد
Last IPC,Last المستخلص
Last Measurement Date,Last القياسات Date
Last Transaction Date,تاريخ آخر حركة
Latest Cost Allocation,Latest توزيع التكلفة
Latest Date,Latest Date
Latest management cost allocation applied to this Unit. Not an accounting entry.,Latest management cost allocation applied to this الوحدة. Not an accounting entry.
Lead,المهتم
Ledger,الكشف
Ledger Information,بيانات الحركة
Legal Status,Legal الحالة
Length,الطول
Level Code,Level Code
Level Name,Level Name
Level Type,Level Type
Lines,البنود
Links this record to the related Account.,يربط هذا السجل بـAccount المرتبط.
Links this record to the related Budget Level.,يربط هذا السجل بـBudget Level المرتبط.
Links this record to the related Building.,يربط هذا السجل بـالمبنى المرتبط.
Links this record to the related Company.,يربط هذا السجل بـالشركة المرتبط.
Links this record to the related Construction BOQ.,يربط هذا السجل بـجدول كميات البناء المرتبط.
Links this record to the related Construction Work Item.,يربط هذا السجل بـبند عمل إنشائي المرتبط.
Links this record to the related Contractor Account.,يربط هذا السجل بـحساب المقاول المرتبط.
Links this record to the related Contractor Ledger Entry.,يربط هذا السجل بـحركة كشف المقاول المرتبط.
Links this record to the related Cost Center.,يربط هذا السجل بـمركز التكلفة المرتبط.
Links this record to the related Cost Code.,يربط هذا السجل بـكود التكلفة المرتبط.
Links this record to the related Currency.,يربط هذا السجل بـالعملة المرتبط.
Links this record to the related Customer.,يربط هذا السجل بـالعميل المرتبط.
Links this record to the related DocType.,يربط هذا السجل بـDocType المرتبط.
Links this record to the related Floor.,يربط هذا السجل بـالطابق المرتبط.
Links this record to the related Interim Payment Certificate.,يربط هذا السجل بـمستخلص مقاول المرتبط.
Links this record to the related Item.,يربط هذا السجل بـItem المرتبط.
Links this record to the related Journal Entry.,يربط هذا السجل بـJournal Entry المرتبط.
Links this record to the related Measurement Book.,يربط هذا السجل بـدفتر القياسات المرتبط.
Links this record to the related Measurement Entry.,يربط هذا السجل بـقيد قياس المرتبط.
Links this record to the related Payment Entry.,يربط هذا السجل بـسند الدفع المرتبط.
Links this record to the related Project Cash Flow Forecast.,يربط هذا السجل بـتوقع التدفق النقدي للمشروع المرتبط.
Links this record to the related Project Financial Snapshot.,يربط هذا السجل بـالملخص المالي للمشروع المرتبط.
Links this record to the related Project.,يربط هذا السجل بـالمشروع المرتبط.
Links this record to the related Property Owner.,يربط هذا السجل بـمالك العقار المرتبط.
Links this record to the related Purchase Invoice.,يربط هذا السجل بـفاتورة الشراء المرتبط.
Links this record to the related Real Estate Project.,يربط هذا السجل بـالمشروع العقاري المرتبط.
Links this record to the related Subcontract.,يربط هذا السجل بـSubcontract المرتبط.
Links this record to the related Supplier.,يربط هذا السجل بـالمورد المرتبط.
Links this record to the related UOM.,يربط هذا السجل بـوحدة القياس المرتبط.
Links this record to the related Unit Type.,يربط هذا السجل بـنوع الوحدة المرتبط.
Links this record to the related Unit.,يربط هذا السجل بـالوحدة المرتبط.
Links this record to the related User.,يربط هذا السجل بـUser المرتبط.
Links this record to the related WBS Element.,يربط هذا السجل بـعنصر هيكل العمل المرتبط.
Links this record to the related Warehouse.,يربط هذا السجل بـWarehouse المرتبط.
Links this record to the selected reference document.,يربط هذا السجل بالمستند المرجعي المحدد.
Loan Amount must be greater than zero.,Loan المبلغ must be greater than zero.
Location Summary,Location الملخص
Locked By,تم القفل بواسطة
Locked Measurement Books can only be changed by System Manager.,Locked دفاتر القياس can only be changed by System Manager.
Locked Measurement Entries can only be changed by System Manager.,Locked قيود القياس can only be changed by System Manager.
Locked On,تاريخ القفل
Long Term Rent,Long Term Rent
Loss Risk Units,Loss المخاطر الوحدةs
Lower Control Limit must be less than Upper Control Limit.,Lower Control Limit must be less than Upper Control Limit.
Lowest Balance,Lowest Balance
Lowest Projected Balance,Lowest المشروعed Balance
Main Owner,Main المالك
Maintenance Cost by Asset,تكلفة الصيانة حسب الأصل
Maintenance Email Failed,Maintenance Email Failed
Manual,Manual
Manual Amount,Manual المبلغ
Manual Entry,Manual Entry
Manual Percentage,Manual Percentage
Margin %,Margin %
Marketing Status,الحالة التسويقية
Markup Percent,نسبة هامش الإضافة
"Master classification for construction cost categories used in BOQ, procurement, measurement, IPC, and financial traceability.","Master classification for construction cost categories used in BOQ, procurement, measurement, المستخلص, and financial traceability."
Master classification for real estate unit types and default usage purposes.,Master classification for real estate unit types and default usage purposes.
Material,Material
Material Distribution,توزيع المواد
Material Distribution Report,تقرير توزيع المواد
Measured,Measured
Measured Progress Percent,Measured التقدم Percent
Measurement Amount,القياسات المبلغ
Measurement Book must be Verified or Locked before creating IPC.,دفتر القياسات must be Verified or Locked before creating المستخلص.
Measurement Books,دفاتر القياس
Measurement Calculation,حساب القياس
Measurement Entries linked to submitted IPCs cannot be changed.,قيود القياس linked to submitted المستخلصs cannot be changed.
Measurement Entry {0} is already linked to an active IPC.,قيد قياس {0} is already linked to an active المستخلص.
Measurement Entry {0} is repeated in this IPC.,قيد قياس {0} is repeated in this المستخلص.
Measurement Location,القياسات Location
Measurement Method,القياسات Method
Measurement Period End,القياسات Period End
Measurement Period Start,القياسات Period Start
Measurement Period Start cannot be after Measurement Period End.,القياسات Period Start cannot be after القياسات Period End.
Measurement Progress Percent,القياسات التقدم Percent
Measurement Setup,إعدادات القياس
Measurement Source,مصدر القياس
Measurement Status,القياسات الحالة
Measurement Tracking,تتبع القياسات
Method used to distribute source project cost across units.,الطريقة المستخدمة لتوزيع تكلفة المشروع المصدرية على الوحدات.
Mixed,Mixed
Mixed Use,Mixed Use
Mobile No,رقم الجوال
Mobile Sync,Mobile Sync
Monthly,Monthly
My Projects,My المشروعs
Needs Maintenance,Needs Maintenance
Negotiated Amount,Negotiated المبلغ
Net Amount,Net المبلغ
Net Cash Flow,صافي التدفق النقدي
Net Cost,Net Cost
Net Line Amount,Net Line المبلغ
New Amount,New المبلغ
No Units found for this Real Estate Project.,No الوحدةs found for this المشروع العقاري.
No active Employee Loan found for {0}.,No active Employee Loan found for {0}.
No default bank or cash account configured for company {0},No default bank or cash account configured for company {0}
No email address found for customer {0} (Invoice {1}),No email address found for customer {0} (Invoice {1})
No remaining amount to apply,No remaining amount to apply
No requestable material Work Items were found.,No requestable material بنود العمل were found.
No salary component mapping for movement type {0}.,No salary component mapping for movement type {0}.
No verified Measurement Entries found for this Measurement Book.,No verified قيود القياس found for this دفتر القياسات.
North,North
North East,North East
North West,North West
Not Certified,Not Certified
Not Finished,Not Finished
Not Measured,Not Measured
Not Priced Units,Not Priced الوحدةs
Not Requested,Not Requested
Number Of Units,Number Of الوحدةs
Number of Floors,Number of الطابقs
Number of days used by expiring reservation reports and alerts.,عدد الأيام المستخدم في تقارير وتنبيهات الحجوزات القريبة من الانتهاء.
Occurrence,Occurrence
Only active reservations can be converted.,Only active reservations can be converted.
Opening Balance,الرصيد الافتتاحي
Operating,Operating
Operational contractor outstanding exposure from Contractor Accounts.,Operational contractor outstanding exposure from حسابات المقاولين.
Operational financial control profile for contractor exposure by project and optional subcontract.,Operational financial control profile for contractor exposure by project and optional subcontract.
"Operational outstanding balance after certified, retained, invoiced, and paid amounts.",الرصيد التشغيلي المستحق بعد المبالغ المعتمدة والمحتجزة والمفوترة والمدفوعة.
Operational reservation status.,الحالة التشغيلية للحجز.
Operational status for measurement verification before IPC generation.,Operational status for measurement verification before المستخلص generation.
Optional existing construction budget used as a planning reference.,ميزانية بناء حالية اختيارية تستخدم كمرجع تخطيطي.
Original Amount,Original المبلغ
Other,Other
Other Deduction Amount,Other Deduction المبلغ
Other Outflow,تدفق خارج آخر
Outflows,التدفقات الخارجة
Outstanding,Outstanding
Outstanding Advance,Outstanding Advance
Outstanding Advance Amount,Outstanding Advance المبلغ
Over Certified,Over Certified
Over Measured,Over Measured
Over Ordered,Over Ordered
Over Received,Over Received
Over Requested,Over Requested
Overall EVM Status,Overall EVM الحالة
Overall Recommendation,Overall Recommendation
Overdue Maintenance: {0} for {1},Overdue Maintenance: {0} for {1}
Overhead,Overhead
Overrun Tolerance Percent,نسبة سماحية التجاوز
Overview,نظرة عامة
Owner,المالك
Owner Name,المالك Name
Owner Type,المالك Type
Owner is required.,المالك is required.
Owners & Ownership,الملاك والملكية
Ownership %,المالكship %
Ownership Information,بيانات الملكية
Ownership Percentage,نسبة الملكية
Ownership Percentage must be greater than 0 and up to 100.,نسبة الملكية must be greater than 0 and up to 100.
Ownership Role,المالكship Role
"Ownership link between Property Owner and Unit with ownership percentage, role, dates, and status.","المالكship link between مالك العقار and الوحدة with ownership percentage, role, dates, and status."
PV,PV
Parent Cost Code,Parent كود التكلفة
Parent WBS Element,Parent عنصر هيكل العمل
Parent WBS Element must belong to the same Project.,Parent عنصر هيكل العمل must belong to the same المشروع.
Parking,Parking
Parking Count,عدد المواقف
Partially Certified,Partially Certified
Partially Invoiced,Partially Invoiced
Partially Measured,Partially Measured
Partially Ordered,Partially Ordered
Partially Received,Partially Received
Partially Requested,Partially Requested
Parts Cost,Parts Cost
Party,Party
Party Links,روابط الأطراف
Payment Amount,Payment المبلغ
Payment Difference,Payment Difference
Payment Difference Amount,Payment Difference المبلغ
Payment Difference Reason,سبب فرق السداد
Payment Difference Reason is required when paid amount is below net payable.,Payment Difference Reason is required when paid amount is below net payable.
Payment History,Payment History
Payment Made,Payment Made
Payment Reminder - No Email,Payment Reminder - No Email
Payment Reminder Template Error,Payment Reminder Template Error
Payment Reminder: Invoice {0},Payment Reminder: Invoice {0}
Penalty,Penalty
Penalty Amount,Penalty المبلغ
Pending,Pending
Pending Qty,Pending Qty
Performance Guarantee,Performance Guarantee
Performance Indices,مؤشرات الأداء
Period,الفترة
Period Date,Period Date
Period End cannot be before Period Start.,Period End cannot be before Period Start.
Period Information,بيانات الفترة
Period Settings,إعدادات الفترة
Period Start cannot be after Period End.,Period Start cannot be after Period End.
Period Type,نوع الفترة
Period Type is required.,Period Type is required.
"Period-level cash flow row showing inflows, outflows, net movement, running balance, and source counts.","Period-level cash flow row showing inflows, outflows, net movement, running balance, and source counts."
Periods,الفترات
Photo,الصورة
Physical Advancement,التقدم الفعلي
Physical Advancement Report,تقرير التقدم الفعلي
Physical Details,البيانات المادية
Pipeline Gap,Pipeline Gap
Planned,Planned
Planned %,Planned %
Planned End,Planned End
Planned End Date,Planned تاريخ النهاية
Planned Progress %,Planned التقدم %
Planned Progress Percent,Planned التقدم Percent
Planned Progress Percent must be between 0 and 100.,Planned التقدم Percent must be between 0 and 100.
Planned Quantity,Planned الكمية
Planned Quantity cannot be negative.,Planned الكمية cannot be negative.
Planned Scope,النطاق المخطط
Planned Start,Planned Start
Planned Start Date,Planned تاريخ البداية
Planned progress used to calculate Planned Value until schedule-derived PV is implemented.,نسبة التقدم المخطط المستخدمة لحساب القيمة المخططة إلى حين تفعيل حسابها من الجدول الزمني.
Planning,التخطيط
Please set a Default Income Account in company {0} settings.,Please set a Default Income Account in company {0} settings.
